# Dirker, Meyer & Reid (2018) -- 180-degree-span NON-UNIFORM heat flux water tube.
# PhysMAP Stage-3 MIDDLE-axis vehicle. Source PDF banked alongside this file
# (source_dirker_meyer_reid_2018.pdf). Smooth circular tube D=27.8 mm, L/D=72,
# water Pr 6-7, laminar Re 650-2600. Properties: Popiel & Wojtkowiak (1998).
#
# CONSTRUCTION (settled with user, 2026-06-06): clean middle = buoyancy (Ri)
# only, NO span confound and NO regime-transition confound. Span fixed at 180
# degrees, all rows laminar. The failure variable Ri = Gr/Re^2 (paper Eq 17/18;
# = Okafor et al. CFD-companion Eq 32) is varied at fixed Re by BOTH heat-flux
# level (6631 vs 4421 W/m2) AND circumferential position (lower/slanted/side/
# upper). Heat-flux variation is what makes Ri PARTIALLY observable from
# (log10_Re, Pr) -> a genuine MIDDLE observability score. A single flux level
# gives Ri ~ f(Re) (baseline-sufficient -> near the Forrest pole), so multiple
# fluxes are required (the gate's clean_lift needs high-Ri and low-Ri rows at
# the SAME Re so the Re-baseline stays quiet while the Ri-corpus fires).
#
# RI DIGITIZED DIRECTLY from the authors' per-point Ri plots (Figs 18/20) --
# Phase-C path (a), NOT recomputed from properties. C4 cross-check: at fixed Re
# the 6631-cluster Ri ~= 1.5x the 4421-cluster Ri, matching the flux ratio
# 6631/4421 = 1.50 (Ri proportional to Gr proportional to flux). Ri carries a
# ~18% log-read digitization uncertainty (Ri_unc_pct).
#
# Train (forced-collapsed) = Ri < RI_CEIL (~20); deploy (buoyancy spread) =
# Ri >= RI_CEIL. RI_CEIL is data-driven: ~where the inter-config Nu spread
# collapses (Re ~ 1700-1950).
#
# CLUSTER CAVEAT: in Figs 18/20 the lower/slanted/side cases are coincident on
# the log Ri axis (2B/6B/4B5B at 6631; 2C/6C at 4421) and are recorded at the
# shared cluster value; the upper-heating case (3B/3C) is distinctly lower and
# recorded separately. Per-config Ri differences within a cluster are below
# log-plot resolution (folded into Ri_unc_pct). Nu values ARE per-config
# (resolvable on the linear Fig 17/19 axis).
#
# DIGITIZATION DISCIPLINE: per-marker reads from 500-DPI figure crops; every
# marker preserved (no smoothing/downsampling). Nu_unc_digitization_abs is a
# generous inter-read spread. The Nu digitization was CONFIRMED by the user
# (B3 second reader) on 2026-06-06. 3316 W/m2 (Fig 21) deferred: Nu but NO Ri figure,
# so it stays a computed-Ri supplement, not banked here.
row,case,position,phi_deg,angle_span_deg,local_heat_flux_Wm2,power_W,Re,Pr,Ri,Ri_unc_pct,Nu_meas,Nu_unc_paper_pct,Nu_unc_digitization_abs,entering_condition,source,figure,note
1,2B,lower_180,180,180,6631,600,650,6.5,235,18.0,18.8,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
2,2B,lower_180,180,180,6631,600,800,6.5,155,18.0,18.5,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
3,2B,lower_180,180,180,6631,600,920,6.5,115,18.0,18.35,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
4,2B,lower_180,180,180,6631,600,1050,6.5,85,18.0,18.25,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
5,2B,lower_180,180,180,6631,600,1175,6.5,62,18.0,18.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
6,2B,lower_180,180,180,6631,600,1300,6.5,48,18.0,18.0,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
7,2B,lower_180,180,180,6631,600,1425,6.5,40,18.0,18.0,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
8,2B,lower_180,180,180,6631,600,1550,6.5,33,18.0,17.9,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
9,2B,lower_180,180,180,6631,600,1700,6.5,28,18.0,17.9,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
10,2B,lower_180,180,180,6631,600,1825,6.5,24,18.0,17.75,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
11,2B,lower_180,180,180,6631,600,1950,6.5,21,18.0,17.65,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
12,2B,lower_180,180,180,6631,600,2275,6.5,15,18.0,17.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
13,2B,lower_180,180,180,6631,600,2600,6.5,12,18.0,17.0,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 lower_180 (phi=180); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
14,6B,slanted_180,135,180,6631,600,650,6.5,235,18.0,16.8,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
15,6B,slanted_180,135,180,6631,600,800,6.5,155,18.0,16.85,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
16,6B,slanted_180,135,180,6631,600,920,6.5,115,18.0,16.8,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
17,6B,slanted_180,135,180,6631,600,1050,6.5,85,18.0,16.95,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
18,6B,slanted_180,135,180,6631,600,1175,6.5,62,18.0,17.35,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
19,6B,slanted_180,135,180,6631,600,1300,6.5,48,18.0,17.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
20,6B,slanted_180,135,180,6631,600,1425,6.5,40,18.0,17.35,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
21,6B,slanted_180,135,180,6631,600,1550,6.5,33,18.0,17.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
